stem,ending,variant,occurrences,site_count,sites,scribe_count,scribes,supports,warning_classes,manual_tier,manual_adjudication,manual_reason
KI-KI-RA,JA,KI-KI-RA-JA,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
KI-MI,RA2,KI-MI-RA2,1,1,HAGHIA TRIADA,0,,TABLET,,,,
KI-NI,MA,KI-NI-MA,1,1,ZAKROS,1,ZA SCRIBE 1,TABLET,,,,
KI-RE,TA2,KI-RE-TA2,2,1,HAGHIA TRIADA,2,HT SCRIBE 15|HT SCRIBE 9,TABLET,,,,
KI-RE,ZA,KI-RE-ZA,1,1,ZAKROS,0,,TABLET,,,,
KI-RE-TA,NA,KI-RE-TA-NA,3,1,HAGHIA TRIADA,2,HT SCRIBE 2|HT SCRIBE 6,TABLET,,,,
KI-RI,SI,KI-RI-SI,1,1,TYLISSOS,0,,TABLET,,,,
KI-RI,TA2,KI-RI-TA2,2,1,HAGHIA TRIADA,1,HT SCRIBE 4,TABLET,,,,
KI-TA,I,KI-TA-I,1,1,HAGHIA TRIADA,1,HT SCRIBE 6,TABLET,,,,
KI-TA-NI,TE,KI-TA-NI-TE,1,1,PALAIKASTRO,0,,CLAY VESSEL,,,,
KO-SA-I,TI,KO-SA-I-TI,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
KU-KU-DA,RA,KU-KU-DA-RA,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
KU-MA,JU,KU-MA-JU,1,1,HAGHIA TRIADA,1,HT SCRIBE 10,TABLET,,,,
KU-MI-NA,QE,KU-MI-NA-QE,1,1,HAGHIA TRIADA,0,,ROUNDEL,,,,
KU-NI,SU,KU-NI-SU,4,1,HAGHIA TRIADA,1,HT SCRIBE 6,TABLET,,rejected,rejected,Repeated KU-NI-SU cannot repair insecure boundaries of proposed base
KU-NI,TE,KU-NI-TE,1,1,KHANIA,0,,TABLET,,rejected,rejected,Damage-preserving source leaves both boundaries of proposed base insecure; normalized tokenization cannot establish a whole-word base
KU-PA,JA,KU-PA-JA,1,1,HAGHIA TRIADA,0,,TABLET,,A,positive,Second independent exact base plus final JA; ordinary PA sign distinct from PA3
KU-PA,RI,KU-PA-RI,1,1,PETRAS,0,,TABLET,,,,
KU-PA,ZU,KU-PA-ZU,1,1,KHANIA,1,KH SCRIBE 2,TABLET,,,,
KU-PA3,NU,KU-PA3-NU,8,2,HAGHIA TRIADA|PHAISTOS,3,HT SCRIBE 21|HT SCRIBE 7|HT SCRIBE 9,TABLET,,,,
KU-PA3,PA3,KU-PA3-PA3,1,1,HAGHIA TRIADA,1,HT SCRIBE 7,TABLET,,,,
KU-PA3-NA,TU,KU-PA3-NA-TU,2,1,HAGHIA TRIADA,2,HT SCRIBE 14|HT SCRIBE 9,TABLET,,,,
KU-PA3-RI,JA,KU-PA3-RI-JA,1,1,HAGHIA TRIADA,0,,TABLET,,,,
KU-RA,MU,KU-RA-MU,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
KU-RE,JU,KU-RE-JU,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
KU-RU,KU,KU-RU-KU,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
KU-RU,MA,KU-RU-MA,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,
KU-TU-KO,RE,KU-TU-KO-RE,1,1,ZAKROS,1,ZA SCRIBE 2,TABLET,,,,
KU-ZU,NI,KU-ZU-NI,2,1,HAGHIA TRIADA,2,HT SCRIBE 8|HT SCRIBE 9,TABLET,,,,
MA-I,MI,MA-I-MI,1,1,HAGHIA TRIADA,1,HT SCRIBE 2,TABLET,,,,
MA-KA-I,SE,MA-KA-I-SE,1,1,ZAKROS,1,ZA SCRIBE 2,TABLET,,,,
MA-KA-I,TA,MA-KA-I-TA,2,2,PALAIKASTRO|ZAKROS,1,ZA SCRIBE 1,TABLET,,,,
MA-KA-RI,TE,MA-KA-RI-TE,2,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
MA-KI-DE,TE,MA-KI-DE-TE,1,1,ZAKROS,1,ZA SCRIBE 4,TABLET,,,,
MA-RI-RE,I,MA-RI-RE-I,1,1,HAGHIA TRIADA,0,,TABLET,,,,
MA-SI,DU,MA-SI-DU,1,1,HAGHIA TRIADA,0,,TABLET,,,,
MA-SU,MI,MA-SU-MI,1,1,KNOSSOS,0,,LAMES (SHORT THIN TABLET),,,,
MA-TE,TI,MA-TE-TI,1,1,PALAIKASTRO,0,,TABLET,,,,
MA-TI-ZA-I,TE,MA-TI-ZA-I-TE,1,1,PALAIKASTRO,0,,TABLET,,,,
ME-KI,DI,ME-KI-DI,1,1,ZAKROS,0,,TABLET,,,,
MI-DA,NI,MI-DA-NI,1,1,HAGHIA TRIADA,1,HT SCRIBE 14,TABLET,,,,
MI-DA,RA,MI-DA-RA,1,1,PALAIKASTRO,0,,CLAY VESSEL,,B,reclassified,"Both forms are complete; editors call MI-DA-RA a hapax and cannot determine whether it is anthroponym or toponym, leaving a plausible onomastic/derivational relation but no demonstrated generic inflection"
MI-DA-MA,RA2,MI-DA-MA-RA2,1,1,ARKHALKHORI,0,,METAL OBJECT,,,,
MI-KI-SE,NA,MI-KI-SE-NA,1,1,HAGHIA TRIADA,1,HT SCRIBE 3,TABLET,,,,
MI-NU,TE,MI-NU-TE,4,1,HAGHIA TRIADA,2,HT SCRIBE 19|HT SCRIBE 6,TABLET,,,,
MI-RU-TA-RA,RE,MI-RU-TA-RA-RE,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
MI-ZA,SE,MI-ZA-SE,1,1,ZAKROS,1,ZA SCRIBE 5,TABLET,,,,
NA-*21F,NE,NA-*21F-NE,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
NA-*21F-NE-MI,NA,NA-*21F-NE-MI-NA,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,
NA-A,PA3,NA-A-PA3,1,1,KNOSSOS,0,,CLAY VESSEL,,,,
NA-DA,RE,NA-DA-RE,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
NA-MA-MA-TI-TI,*904,NA-MA-MA-TI-TI-*904,1,1,HAGHIA TRIADA,0,,GRAFFITO,,,,
NA-TU-*301,NE,NA-TU-*301-NE,1,1,SKOTEINO CAVE,0,,INKED INSCRIPTION,,,,
NI-JA,NU,NI-JA-NU,1,1,KNOSSOS,0,,INKED INSCRIPTION,,,,
NI-NU,NI,NI-NU-NI,1,1,PLATANOS,0,,METAL OBJECT,,,,
NU-DU,*331,NU-DU-*331,1,1,HAGHIA TRIADA,1,HT SCRIBE 2,TABLET,,,,
O-KA-MI-ZA-SI-I,NA,O-KA-MI-ZA-SI-I-NA,1,1,PALAIKASTRO,0,,TABLET,,,,
O-RA2-DI,NE,O-RA2-DI-NE,1,1,HAGHIA TRIADA,0,,TABLET,,,,
O-SU-QA,RE,O-SU-QA-RE,1,1,TROULLOS,0,,STONE VESSEL,,,,
O-TA-NI-ZA,SE,O-TA-NI-ZA-SE,1,1,ZAKROS,1,ZA SCRIBE 1,TABLET,,,,
O-TE,JA,O-TE-JA,1,1,PALAIKASTRO,0,,TABLET,,,,
PA-*342,I,PA-*342-I,1,1,HAGHIA TRIADA,0,,TABLET,,,,
PA-DA,RU,PA-DA-RU,1,1,TYLISSOS,0,,TABLET,,,,
PA-DA-SU,TI,PA-DA-SU-TI,1,1,HAGHIA TRIADA,1,HT SCRIBE 5,TABLET,,,,
PA-I,TO,PA-I-TO,2,1,HAGHIA TRIADA,2,HT SCRIBE 6|HT SCRIBE 7,TABLET,,,,
PA-JA,RE,PA-JA-RE,4,2,HAGHIA TRIADA|ZAKROS,3,HT SCRIBE 2|HT SCRIBE 7|ZA SCRIBE 4,TABLET,onomastic,B,reclassified,"Secure exact extension, but PA-JA-RE is a probable Minoan personal name with Linear B pa-ja-ro continuity; ordinary inflection not established"
PA-NU,QE,PA-NU-QE,1,1,ZAKROS,0,,TABLET,,,,
PA-RA,NE,PA-RA-NE,2,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,onomastic,,,
PA-RO,SU,PA-RO-SU,1,1,HAGHIA TRIADA,1,HT SCRIBE 10,TABLET,,,,
PA-SA-RI,JA,PA-SA-RI-JA,1,1,HAGHIA TRIADA,0,,TABLET,,,,
PA-SE,JA,PA-SE-JA,2,1,HAGHIA TRIADA,1,HT WA SCRIBE 10,ROUNDEL,,A,positive,Exact complete base plus final JA; independent administrative attestations
PA-TA,NE,PA-TA-NE,3,1,HAGHIA TRIADA,1,HT SCRIBE 9,NODULE|TABLET,,rejected,rejected,Complete PA-TA-NE attestations cannot repair the insecure left boundary of the sole apparent base
PA-TA-DA-DU-PU2,RE,PA-TA-DA-DU-PU2-RE,1,1,HAGHIA TRIADA,0,,CLAY VESSEL,,,,
PA3-KA-RA,TI,PA3-KA-RA-TI,1,1,HAGHIA TRIADA,1,HT SCRIBE 2,TABLET,,,,
PA3-NI,NA,PA3-NI-NA,3,1,HAGHIA TRIADA,1,HT SCRIBE 5,TABLET,,,,
PA3-NI,WI,PA3-NI-WI,1,1,SYME,0,,STONE VESSEL,,B,reclassified,Complete repeated base and complete ritual extension support possible onomastic/relational/derivational morphology; generic inflection unproved
PA3-SI,*47,PA3-SI-*47,1,1,MILETOS,0,,CLAY VESSEL,,,,
PI-*34,TE,PI-*34-TE,1,1,HAGHIA TRIADA,0,,TABLET,,,,
PI-KU,ZU,PI-KU-ZU,1,1,TYLISSOS,0,,TABLET,,,,
PI-MI-TA-TI,RA2,PI-MI-TA-TI-RA2,1,1,TROY,0,,STONE OBJECT,,,,
PI-RU-E,JU,PI-RU-E-JU,1,1,PHAISTOS,0,,TABLET,,,,
PI-TA,JA,PI-TA-JA,1,1,HAGHIA TRIADA,0,,TABLET,,,,
PI-TA,RA,PI-TA-RA,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,
PI-TA-KA,SE,PI-TA-KA-SE,1,1,HAGHIA TRIADA,1,HT SCRIBE 22,TABLET,,,,
PI-TA-KE,SI,PI-TA-KE-SI,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
PI-TE,RI,PI-TE-RI,1,1,PALAIKASTRO,0,,STONE VESSEL,,,,
PO-DI,PA3,PO-DI-PA3,1,1,KNOSSOS,0,,LAMES (SHORT THIN TABLET),,,,
PO-TO-KU,RO,PO-TO-KU-RO,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
PU-NI-KA,*363,PU-NI-KA-*363,1,1,ZAKROS,0,,TABLET,,,,
QA-*118-RA,RE,QA-*118-RA-RE,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,
QA-*310,I,QA-*310-I,4,1,HAGHIA TRIADA,2,HT SCRIBE 2|HT SCRIBE 9,TABLET,,,,
QA-KI,TI,QA-KI-TI,1,1,SKOTEINO CAVE,0,,INKED INSCRIPTION,,rejected,rejected,Neither form supplies secure complete boundaries
QA-KI-SE-NU,TI,QA-KI-SE-NU-TI,1,1,CRETE,0,,METAL OBJECT,,,,
QA-KU,RE,QA-KU-RE,1,1,HAGHIA TRIADA,0,,ROUNDEL,,,,
QA-MI-*47-NA,RA,QA-MI-*47-NA-RA,1,1,KNOSSOS,0,,METAL OBJECT,,,,
QA-NU,MA,QA-NU-MA,2,2,HAGHIA TRIADA|KHANIA,0,,TABLET,,,,
QA-QA,DA,QA-QA-DA,1,1,PETRAS,0,,TABLET,,,,
QA-QA,RU,QA-QA-RU,3,1,HAGHIA TRIADA,3,HT SCRIBE 3|HT SCRIBE 5|HT SCRIBE 9,TABLET,,,,
QA-RA2,WA,QA-RA2-WA,1,1,HAGHIA TRIADA,1,HT SCRIBE 6,TABLET,,,,
QA-RE,TO,QA-RE-TO,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
QA-SA-RA,KU,QA-SA-RA-KU,1,1,SYME,0,,STONE VESSEL,,,,
QA-TI,JU,QA-TI-JU,1,1,ZAKROS,0,,TABLET,,,,
QA-TI,KI,QA-TI-KI,1,1,KHANIA,1,KH SCRIBE 2,TABLET,,,,
QA-TI-DA,TE,QA-TI-DA-TE,1,1,HAGHIA TRIADA,1,HT SCRIBE 11,TABLET,,,,
QE-DE-MI,NU,QE-DE-MI-NU,2,1,MALIA,0,,3-SIDED BAR,,,,
QE-KU,RE,QE-KU-RE,1,1,HAGHIA TRIADA,1,HT SCRIBE 10,TABLET,,,,
QE-PI,TA,QE-PI-TA,1,1,HAGHIA TRIADA,0,,TABLET,,,,
QE-RA2,JA,QE-RA2-JA,1,1,HAGHIA TRIADA,0,,TABLET,,,,
QE-RA2,U,QE-RA2-U,3,1,HAGHIA TRIADA,1,HT SCRIBE 21,TABLET,,,,
QE-SI,TE,QE-SI-TE,1,1,MALIA,0,,ARCHITECTURE,,,,
QE-SI-ZU,E,QE-SI-ZU-E,2,1,ZAKROS,2,ZA SCRIBE 1|ZA SCRIBE 5,TABLET,,,,
QE-SU,PU,QE-SU-PU,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
QE-TI-RA,DU,QE-TI-RA-DU,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,
QE-TU,NE,QE-TU-NE,1,1,HAGHIA TRIADA,1,HT SCRIBE 11,TABLET,,rejected,rejected,Complete QE-TU-NE cannot form an exact paradigm with fragmentary ]QE-TU
RA-*164,TI,RA-*164-TI,1,1,HAGHIA TRIADA,1,HT SCRIBE 18,TABLET,,,,
RA-*314,RA,RA-*314-RA,1,1,HAGHIA TRIADA,0,,ROUNDEL,,,,
RA-KI-NI,SE,RA-KI-NI-SE,1,1,SYME,0,,CLAY VESSEL,,,,
RA-NA-TU,SU,RA-NA-TU-SU,1,1,PALAIKASTRO,0,,TABLET,,,,
RA-O-DI,KI,RA-O-DI-KI,1,1,PHAISTOS,0,,TABLET,,,,
RA-TI,SE,RA-TI-SE,1,1,HAGHIA TRIADA,0,,TABLET,,,,
RA2-RO,RE,RA2-RO-RE,1,1,ZAKROS,1,ZA SCRIBE 4,TABLET,,,,
RE-A,JA,RE-A-JA,1,1,KHANIA,0,,TABLET,,,,
RE-DI,SE,RE-DI-SE,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
RI-DA,U,RI-DA-U,1,1,LARANI,0,,STONE VESSEL,,,,
RI-KA,TA,RI-KA-TA,1,1,HAGHIA TRIADA,0,,TABLET,,,,
RI-MI,SI,RI-MI-SI,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
RI-QE-TI-A-SA-SA-RA,*325,RI-QE-TI-A-SA-SA-RA-*325,1,1,POROS HERAKLEIOU,0,,INKED INSCRIPTION,,,,
RI-RU,MA,RI-RU-MA,1,1,HAGHIA TRIADA,1,HT SCRIBE 3,TABLET,,,,
RI-RU-MA,TI,RI-RU-MA-TI,1,1,PHAISTOS,0,,TABLET,,B,candidate,Secure exact final extension; no semantic gloss promoted
RI-TA,JE,RI-TA-JE,1,1,KHANIA,1,KH SCRIBE 2,TABLET,,,,
RI-TA-MA-NU,WI,RI-TA-MA-NU-WI,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,
RU-I,KO,RU-I-KO,1,1,HAGHIA TRIADA,0,,TABLET,,,,
RU-JA-TA,DI,RU-JA-TA-DI,1,1,HAGHIA TRIADA,1,HT WC SCRIBE 10,ROUNDEL,,,,
RU-MA,TA,RU-MA-TA,2,1,HAGHIA TRIADA,1,HT SCRIBE 2,TABLET,,,,
RU-MA-TA,SE,RU-MA-TA-SE,1,1,ZAKROS,1,ZA SCRIBE 3,TABLET,,,,
RU-PI-*305,MI,RU-PI-*305-MI,1,1,PETRAS,0,,TABLET,,,,
RU-ZU,NA,RU-ZU-NA,1,1,HAGHIA TRIADA,1,HT SCRIBE 24,TABLET,,,,
SA-*301,RI,SA-*301-RI,1,1,ZAKROS,1,ZA SCRIBE 2,TABLET,,,,
SA-*323,MI,SA-*323-MI,1,1,HAGHIA TRIADA,0,,TABLET,,,,
SA-JA,MA,SA-JA-MA,1,1,HAGHIA TRIADA,1,HT SCRIBE 12,TABLET,,,,
SA-MA,RO,SA-MA-RO,1,1,HAGHIA TRIADA,1,HT SCRIBE 7,TABLET,onomastic_or_designation,,,
SA-MI-DA,E,SA-MI-DA-E,1,1,ZAKROS,1,ZA SCRIBE 5,TABLET,,,,
SA-QE,RI,SA-QE-RI,1,1,HAGHIA TRIADA,1,HT SCRIBE 24,TABLET,,,,
SA-RA,RA,SA-RA-RA,1,1,HAGHIA TRIADA,1,HT SCRIBE 1,TABLET,,rejected,reclassified,HT30 itself contains SA-RA2 and Younger proposes SA-RA2 and SA-RA-RA may be one and the same; the automatic SA-RA + RA segmentation is not the strongest inscription-internal analysis
SA-RE,JU,SA-RE-JU,1,1,HAGHIA TRIADA,1,HT SCRIBE 10,TABLET,,,,
SA-SA,ME,SA-SA-ME,1,1,HAGHIA TRIADA,0,,TABLET,,,,
SA-SA-RA,ME,SA-SA-RA-ME,2,2,KNOSSOS|PALAIKASTRO,0,,INKED INSCRIPTION|STONE VESSEL,,,,
SE-KU,TU,SE-KU-TU,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,
SE-SA,PA3,SE-SA-PA3,1,1,PHAISTOS,0,,TABLET,,,,
SE-TO-I,JA,SE-TO-I-JA,1,1,PRASSA,0,,STONE VESSEL,,,,
SE-WA-AU,DE,SE-WA-AU-DE,1,1,ZAKROS,0,,LABEL,,,,
SI-*805,MI,SI-*805-MI,1,1,KHANIA,0,,TABLET,,,,
SI-DA,RE,SI-DA-RE,2,1,HAGHIA TRIADA,2,HT SCRIBE 18|HT SCRIBE 9,TABLET,,,,
SI-DA,RO,SI-DA-RO,1,1,GOURNIA,0,,TABLET,,,,
SI-DA,TE,SI-DA-TE,1,1,ARKHALKHORI,1,ARKH SCRIBE 1,TABLET,,,,
SI-DI,JA,SI-DI-JA,1,1,HAGHIA TRIADA,0,,TABLET,,,,
SI-DU-*34-KU,MI,SI-DU-*34-KU-MI,1,1,HAGHIA TRIADA,0,,TABLET,,,,
SI-KI,NE,SI-KI-NE,1,1,HAGHIA TRIADA,0,,TABLET,,,,
SI-KI,RA,SI-KI-RA,1,1,HAGHIA TRIADA,1,HT SCRIBE 2,TABLET,anthroponymic_risk,,,
SI-MI,TA,SI-MI-TA,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,
SI-PI,KI,SI-PI-KI,3,1,ZAKROS,2,ZA SCRIBE 1|ZA SCRIBE 5,TABLET,,,,
SI-RU,TE,SI-RU-TE,6,4,IOUKTAS|KOPHINAS|TROULLOS|VRYSINAS,0,,STONE VESSEL,,B,reclassified,"Both forms are complete, but SI-RU-TE is a recurrent libation-formula element and lexical identity with administrative SI-RU is unproven"
SI-RU-MA-RI,TA2,SI-RU-MA-RI-TA2,1,1,HAGHIA TRIADA,1,HT SCRIBE 2,TABLET,,,,
SI-SI-ZA-NE,*310,SI-SI-ZA-NE-*310,1,1,KNOSSOS,0,,METAL OBJECT,,,,
SI-TE,TU,SI-TE-TU,1,1,ZAKROS,1,ZA SCRIBE 3,TABLET,,,,
SI-TU-RA2,RE,SI-TU-RA2-RE,1,1,HAGHIA TRIADA,0,,TABLET,,,,
SU-KI-RI,TA,SU-KI-RI-TA,1,1,PHAISTOS,0,,NODULE,,,,
SU-KI-RI-TE-I,JA,SU-KI-RI-TE-I-JA,1,1,HAGHIA TRIADA,0,,CLAY VESSEL,,,,
SU-PU2,*188,SU-PU2-*188,1,1,HAGHIA TRIADA,1,HT SCRIBE 2,TABLET,,,,
TA-I-NU-MA,PA,TA-I-NU-MA-PA,1,1,ZAKROS,1,ZA SCRIBE 2,TABLET,,,,
TA-NA,TE,TA-NA-TE,1,1,ZAKROS,1,ZA SCRIBE 4,TABLET,,,,
TA-NA,TI,TA-NA-TI,3,1,HAGHIA TRIADA,1,HT SCRIBE 11,TABLET,,,,
TA-NA-I-*301,TI,TA-NA-I-*301-TI,1,1,PSYKHRO,1,PS SCRIBE 1,STONE VESSEL,,,,
TA-NA-I-*301-U-TI,NU,TA-NA-I-*301-U-TI-NU,1,1,IOUKTAS,0,,STONE VESSEL,,,,
TA-NA-MA,JE,TA-NA-MA-JE,1,1,PETRAS,0,,STONE OBJECT,,,,
TA-NA-RA-TE-U-TI,NU,TA-NA-RA-TE-U-TI-NU,1,1,IOUKTAS,0,,STONE VESSEL,,,,
TA-NA-SU-TE,KE,TA-NA-SU-TE-KE,1,1,PRASSA,0,,STONE VESSEL,,,,
TA-NI,KA,TA-NI-KA,2,1,HAGHIA TRIADA,1,HT WC SCRIBE 10,ROUNDEL,,,,
TA-NU-NI-KI,NA,TA-NU-NI-KI-NA,1,1,PLATANOS,0,,METAL OBJECT,,,,
TA-RI,NA,TA-RI-NA,1,1,HAGHIA TRIADA,0,,TABLET,,,,
TA-SA,ZA,TA-SA-ZA,1,1,KNOSSOS,0,,METAL OBJECT,,,,
TA-TE-I-KE-ZA,RE,TA-TE-I-KE-ZA-RE,1,1,KNOSSOS,0,,METAL OBJECT,,,,
TA2-TA,RE,TA2-TA-RE,1,1,PALAIKASTRO,0,,TABLET,,,,
TA2-TI,TE,TA2-TI-TE,1,1,PALAIKASTRO,0,,TABLET,,,,
TE-JA,RE,TE-JA-RE,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,onomastic,rejected,reclassified,Cannot serve as exact pair; TE-JA-RE itself is strongly onomastic and has Linear B te-ja-ro parallels
TE-ME-DA,I,TE-ME-DA-I,1,1,THERA,0,,TABLET,,,,
TE-SU-DE-SE-KE,I,TE-SU-DE-SE-KE-I,1,1,KNOSSOS,0,,METAL OBJECT,,,,
TI-DA,TA,TI-DA-TA,1,1,HAGHIA TRIADA,1,HT SCRIBE 6,TABLET,,,,
TI-DI-TE-QA,TI,TI-DI-TE-QA-TI,1,1,KNOSSOS,0,,METAL OBJECT,,,,
TI-DU,NI,TI-DU-NI,1,1,HAGHIA TRIADA,0,,TABLET,,,,
TI-MA-RU-WI,TE,TI-MA-RU-WI-TE,1,1,PYRGOS,0,,TABLET,,,,
TI-NI,TA,TI-NI-TA,1,1,HAGHIA TRIADA,1,HT SCRIBE 11,TABLET,,,,
TI-NU,JA,TI-NU-JA,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,
TI-TI,KU,TI-TI-KU,2,2,HAGHIA TRIADA|ZAKROS,0,,CLAY VESSEL|TABLET,,,,
TI-TI,MA,TI-TI-MA,1,1,PHAISTOS,0,,ROUNDEL,,,,
TO-*49,RE,TO-*49-RE,1,1,PETRAS,0,,TABLET,,,,
TO-PA3,DI,TO-PA3-DI,1,1,PALAIKASTRO,0,,CLAY VESSEL,,,,
TU-*21F-RI,NA,TU-*21F-RI-NA,1,1,HAGHIA TRIADA,1,HT SCRIBE 15,TABLET,,,,
TU-JU,MA,TU-JU-MA,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
TU-ME,I,TU-ME-I,1,1,PALAIKASTRO,0,,STONE VESSEL,,,,
TU-MI-TI-ZA,SE,TU-MI-TI-ZA-SE,1,1,ZAKROS,0,,TABLET,,,,
TU-PA-DI,DA,TU-PA-DI-DA,1,1,HAGHIA TRIADA,1,HT SCRIBE 6,TABLET,,,,
TU-PI,TA,TU-PI-TA,1,1,POROS HERAKLEIOU,0,,METAL OBJECT,,,,
TU-RU,SA,TU-RU-SA,1,1,KOPHINAS,0,,STONE VESSEL,,,,
TU-RU-NU-SE,ME,TU-RU-NU-SE-ME,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
TU-SU,PU2,TU-SU-PU2,1,1,HAGHIA TRIADA,0,,TABLET,,,,
U-*325,ZA,U-*325-ZA,3,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
U-*34,SI,U-*34-SI,2,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,
U-DE,ZA,U-DE-ZA,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
U-DI,MI,U-DI-MI,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
U-KA-RE-A-SE-SI,NA,U-KA-RE-A-SE-SI-NA,1,1,PETRAS,0,,TABLET,,,,
U-MI-NA,SI,U-MI-NA-SI,2,1,HAGHIA TRIADA,2,HT SCRIBE 13|HT SCRIBE 9,TABLET,,,,
U-NA,A,U-NA-A,1,1,KNOSSOS,0,,CLAY VESSEL,,,,
U-NA,NA,U-NA-NA,1,1,MALIA,0,,3-SIDED BAR,,,,
U-NA-KA-NA,SI,U-NA-KA-NA-SI,4,3,IOUKTAS|KOPHINAS|PALAIKASTRO,0,,STONE VESSEL,,,,
U-NA-RU-KA-JA,SI,U-NA-RU-KA-JA-SI,1,1,PALAIKASTRO,0,,STONE VESSEL,,,,
U-NA-RU-KA-NA,SI,U-NA-RU-KA-NA-SI,1,1,IOUKTAS,0,,STONE VESSEL,,,,
U-NA-RU-KA-NA,TI,U-NA-RU-KA-NA-TI,1,1,PALAIKASTRO,0,,STONE VESSEL,,,,
U-NU,*21F,U-NU-*21F,1,1,HAGHIA TRIADA,1,HT SCRIBE 3,TABLET,,,,
U-QE,TI,U-QE-TI,1,1,PLATANOS,0,,METAL OBJECT,,,,
U-RE,WI,U-RE-WI,1,1,HAGHIA TRIADA,0,,TABLET,,,,
U-TA,RO,U-TA-RO,1,1,HAGHIA TRIADA,0,,TABLET,,,,
U-TA-I,SE,U-TA-I-SE,1,1,KHANIA,1,KH SCRIBE 2,TABLET,,,,
WA-DI,NI,WA-DI-NI,2,1,HAGHIA TRIADA,1,HT WC SCRIBE 10,ROUNDEL,,,,
WA-DU-NI,MI,WA-DU-NI-MI,2,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
WA-O,MI,WA-O-MI,1,1,HAGHIA TRIADA,0,,ROUNDEL,,,,
WA-PI-TI-NA,RA2,WA-PI-TI-NA-RA2,1,1,PHAISTOS,0,,CLAY VESSEL,,,,
WA-TU-MA,RE,WA-TU-MA-RE,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
WI-DI,NA,WI-DI-NA,1,1,HAGHIA TRIADA,1,HT SCRIBE 13,TABLET,,,,
WI-JA-SU-MA-TI,TI,WI-JA-SU-MA-TI-TI,1,1,HAGHIA TRIADA,0,,GRAFFITO,,,,
WI-NA,DU,WI-NA-DU,1,1,KHANIA,1,KH SCRIBE 2,TABLET,,,,
WI-RA-RE-MI,TE,WI-RA-RE-MI-TE,1,1,ZAKROS,0,,TABLET,,,,
WI-SA-SA,NE,WI-SA-SA-NE,1,1,KHANIA,1,KH SCRIBE 2,TABLET,,,,
WI-TE,RO,WI-TE-RO,1,1,HAGHIA TRIADA,0,,TABLET,,,,
WI-TE-JA,MU,WI-TE-JA-MU,1,1,PLATANOS,0,,METAL OBJECT,,,,
ZU-*22F,DI,ZU-*22F-DI,1,1,HAGHIA TRIADA,1,HT SCRIBE 2,TABLET,,,,
ZU-*301-SE-DE-*21F,*118,ZU-*301-SE-DE-*21F-*118,1,1,ARKHALKHORI,1,ARKH SCRIBE 1,TABLET,,,,
ZU-DI,RA,ZU-DI-RA,2,1,HAGHIA TRIADA,1,HT WC SCRIBE 11,ROUNDEL,,,,
ZU-JU,PU2,ZU-JU-PU2,1,1,HAGHIA TRIADA,0,,TABLET,,,,
ZU-RI-NI,MA,ZU-RI-NI-MA,1,1,KNOSSOS,0,,CLAY VESSEL,,,,
